Ticker,Date,Close,ChangePct,Market Cap,YTDpct,Beta,AnalystRating,RecentEarnings,UpcomingEarnings,Sector,FailReason
ABCL,2025-09-29,4.77,0.68,1.42B,57.5,1.4,,,,PHARMACEUTICAL PREPARATIONS,"Universe,MarketCap,YTD,StochRSI"
ABEO,2025-09-29,5.38,-1.01,278.96M,-8.88,0.81,,,,PHARMACEUTICAL PREPARATIONS,"MarketCap,Beta"
ABG,2025-09-29,240.06,0.44,4.70B,1.54,1.31,,,,RETAIL-AUTO DEALERS & GASOLINE STATIONS,"Volume,MA50x200"
ABL,2025-09-29,5.97,1.7,563.06M,-22.87,0.59,,,,INVESTMENT ADVICE,"MarketCap,Beta,MA50x200"
ABLLL,2025-09-29,25.04,-0.04,,-17.63,,,,,INVESTMENT ADVICE,"Volume,MarketCap,Beta,MA50x200"
ABLV,2025-09-29,0.9,1.7,43.46M,16.87,1.0,,,,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.","Universe,Volume,MarketCap,Beta,MA50x200"
ABM,2025-09-29,45.53,-0.55,2.80B,-10.94,0.85,,,,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"MarketCap,Beta,StochRSI,MA50x200"
ABNB,2025-09-29,123.64,-0.05,75.73B,-5.97,1.51,,,,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"StochRSI,MA50x200"
ABOS,2025-09-29,1.53,7.75,86.01M,-17.3,1.35,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,StochRSI"
ABP,2025-09-29,0.26,18.63,17.47M,-83.54,,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
ABR,2025-09-29,12.02,-0.25,2.32B,-12.77,1.1,,,,REAL ESTATE INVESTMENT TRUSTS,"MarketCap,StochRSI"
ABSI,2025-09-29,2.91,6.6,408.20M,7.38,2.53,,,,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"Universe,MarketCap,StochRSI,MA50x200"
ABT,2025-09-29,132.62,-0.7,232.44B,16.91,0.45,,,,PHARMACEUTICAL PREPARATIONS,"Beta,StochRSI"
ABTS,2025-09-29,8.3,-1.08,19.88M,-14.35,,,,,"Abits Group Inc is a digital data center operator with bitcoin self-mining operations. The group has its subsidiaries in USA, China, Canada and Hong Kong.","Volume,MarketCap,Beta,StochRSI"
ABUS,2025-09-29,4.45,0.79,845.39M,35.11,0.85,,,,PHARMACEUTICAL PREPARATIONS,"Universe,MarketCap,Beta"
ABVC,2025-09-29,3.1,-2.06,74.39M,382.61,0.54,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI"
ABVE,2025-09-29,1.61,-1.23,83.44M,175.19,,,,,"Above Food Ingredients Inc is a differentiated, regenerative ingredient company. Its products are made with real nutritious, flavorful ingredients and delivered with transparency. Its vision is to create a healthier world one seed, one field, and one bite at a time. With a robust chain of custody of plant proteins, enabled by scaled operations and infrastructure in primary agriculture and processing, and proprietary seed development capabilities that leverage the power of artificial intelligence driven genomics. The company delivers nutritious foods to businesses and consumers with traceability and sustainability. Above Food's consumer products and brands are available in grocers across Canada and the United States.","Universe,MarketCap,Beta,YTD,StochRSI"
AC,2025-09-04,30.92,-7.31,,-11.61,0.5,,,,,"Volume,MarketCap,Beta,MA50x200"
ACA,2025-09-29,92.16,-0.5,4.54B,-4.66,1.21,,,,FABRICATED STRUCTURAL METAL PRODUCTS,Volume
ACAD,2025-09-29,21.5,2.11,3.55B,15.19,1.06,,,,PHARMACEUTICAL PREPARATIONS,
ACB,2025-09-29,6.23,28.19,273.39M,38.45,1.81,,,,"Aurora Cannabis Inc headquartered in Edmonton, Canada, cultivates and sells medicinal and recreational cannabis through a portfolio of brands that includes Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard. Although the company operates in Canada, it has expanded internationally through medical cannabis exporting agreements. The company opertes in Canada, Europe, Australia, and Others, with majority revenue from Canada.","MarketCap,StochRSI"
ACCO,2025-09-29,4.01,-1.11,365.94M,-22.64,1.08,,,,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK","Universe,Volume,MarketCap,MA50x200"
ACCS,2025-09-29,10.77,0.19,41.59M,10.46,,,,,SERVICES-MANAGEMENT CONSULTING SERVICES,"Volume,MarketCap,Beta,StochRSI"
ACDC,2025-09-29,3.77,0.0,681.88M,-54.41,1.55,,,,"OIL & GAS FIELD SERVICES, NEC","Universe,MarketCap,YTD,StochRSI,MA50x200"
ACEL,2025-09-29,11.35,-0.18,958.42M,7.38,0.97,,,,SERVICES-AMUSEMENT & RECREATION SERVICES,"Volume,MarketCap,Beta,StochRSI"
ACET,2025-09-29,0.83,-1.5,69.93M,-15.03,1.44,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,StochRSI,MA50x200"
ACFN,2025-09-29,29.52,3.4,71.42M,59.14,0.26,,,,SERVICES-ENGINEERING SERVICES,"Volume,MarketCap,Beta,YTD"
ACGL,2025-09-29,89.66,-1.34,33.92B,-1.88,0.48,,,,"FIRE, MARINE & CASUALTY INSURANCE","Beta,StochRSI,MA50x200"
ACGLN,2025-09-29,17.95,-0.28,359.00M,-3.03,0.34,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,MarketCap,Beta"
ACHC,2025-09-29,24.28,-1.01,2.27B,-40.44,0.8,,,,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC","MarketCap,Beta,StochRSI,MA50x200"
ACHR,2025-09-29,9.44,1.72,5.99B,-1.36,2.41,,,,AIRCRAFT,StochRSI
ACHV,2025-09-29,3.06,1.83,153.83M,-16.94,1.08,,,,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"Universe,MarketCap,StochRSI"
ACI,2025-09-29,17.43,-0.71,9.83B,-11.32,0.15,,,,RETAIL-GROCERY STORES,"Beta,MA50x200"
ACIC,2025-09-29,11.29,-2.55,564.70M,-11.35,0.78,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,MarketCap,Beta,StochRSI,MA50x200"
ACIU,2025-09-29,3.0,5.63,285.70M,5.26,0.94,,,,"AC Immune SA is a clinical-stage biopharmaceutical company that focuses on neurodegenerative diseases. The company uses its proprietary technology platforms to discover, design, and develop novel proprietary small molecules, antibodies, and vaccines for the prevention, diagnosis, and treatment of neurodegenerative diseases associated with protein misfolding. The Company has one segment. The Company currently focuses mostly of its resources on discovering and developing therapeutic and diagnostic products targeting misfolded proteins. The company's pipeline consists of ACI-24.060, Crenezumab, ACI-35.030, Semorinemab, ACI-7104.056, and others.","Universe,Volume,MarketCap,Beta,StochRSI"
ACIW,2025-09-29,52.48,0.42,5.39B,-0.21,1.16,,,,SERVICES-PREPACKAGED SOFTWARE,"StochRSI,MA50x200"
ACLS,2025-09-29,97.61,0.13,3.06B,39.05,1.98,,,,"SPECIAL INDUSTRY MACHINERY, NEC",StochRSI
ACLX,2025-09-29,79.26,-0.61,4.42B,0.65,1.23,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",StochRSI
ACM,2025-09-29,129.62,0.29,17.12B,21.94,0.88,,,,SERVICES-ENGINEERING SERVICES,Beta
ACMR,2025-09-29,38.47,1.85,2.42B,147.08,2.43,,,,"SPECIAL INDUSTRY MACHINERY, NEC","MarketCap,YTD,StochRSI"
ACN,2025-09-29,248.44,3.96,148.64B,-28.78,1.01,,,,"SERVICES-BUSINESS SERVICES, NEC","StochRSI,MA50x200"
ACNB,2025-09-29,43.7,-2.17,467.59M,13.42,0.91,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,Beta"
ACNT,2025-09-29,12.73,0.0,119.25M,11.67,0.23,,,,CHEMICALS & ALLIED PRODUCTS,"Volume,MarketCap,Beta,StochRSI"
ACOG,2025-09-29,6.76,-4.52,114.42M,19.22,,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Volume,MarketCap,Beta"
ACON,2025-09-29,7.6,-0.26,4.44M,-99.41,1.13,,,,SERVICES-MEDICAL LABORATORIES,"Volume,MarketCap,YTD,MA50x200"
ACR,2025-09-29,21.15,-0.09,157.22M,28.34,0.5,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,StochRSI"
ACRE,2025-09-29,4.75,-0.42,262.38M,-20.17,1.25,,,,REAL ESTATE INVESTMENT TRUSTS,"Universe,Volume,MarketCap,MA50x200"
ACRS,2025-09-29,1.92,-3.52,215.58M,-22.58,1.16,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap"
ACRV,2025-09-29,1.8,8.43,52.22M,-68.37,1.51,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
ACT,2025-09-29,38.67,-1.1,5.77B,19.65,0.63,,,,"INSURANCE AGENTS, BROKERS & SERVICE","Volume,Beta,StochRSI"
ACTG,2025-09-29,3.28,-0.3,317.30M,-24.6,0.89,,,,PATENT OWNERS & LESSORS,"Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
ACTU,2025-09-29,6.83,-0.94,160.15M,-14.26,,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,StochRSI,MA50x200"
ACU,2025-09-29,40.79,-1.59,157.48M,11.27,0.59,,,,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","Volume,MarketCap,Beta"
ACVA,2025-09-29,9.8,0.41,1.68B,-53.2,1.72,,,,"SERVICES-BUSINESS SERVICES, NEC","MarketCap,YTD,StochRSI,MA50x200"
ACXP,2025-09-29,4.21,3.95,6.42M,-74.94,0.76,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
AD,2025-09-29,48.9,1.94,4.14B,-35.64,,,,,RADIOTELEPHONE COMMUNICATIONS,"Volume,Beta,StochRSI"
ADBE,2025-09-29,361.83,0.41,150.85B,-17.95,1.28,,,,SERVICES-PREPACKAGED SOFTWARE,"StochRSI,MA50x200"
ADC,2025-09-29,70.81,-0.63,7.89B,1.53,0.27,,,,REAL ESTATE INVESTMENT TRUSTS,"Beta,MA50x200"
ADCT,2025-09-29,3.9,6.85,410.62M,95.0,1.59,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI"
ADEA,2025-09-29,16.74,-0.53,1.84B,21.92,1.17,,,,CABLE & OTHER PAY TELEVISION SERVICES,"MarketCap,StochRSI"
ADGM,2025-09-29,2.02,5.76,29.38M,72.65,,,,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI"
ADI,2025-09-29,246.58,-0.4,121.79B,16.67,1.41,,,,SEMICONDUCTORS & RELATED DEVICES,StochRSI
ADIL,2025-09-29,0.33,-3.92,7.51M,-68.83,0.91,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
ADM,2025-09-29,60.55,-0.08,29.12B,20.57,0.46,,,,FATS & OILS,Beta
ADMA,2025-09-29,14.88,-4.68,3.73B,-17.2,1.34,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","StochRSI,MA50x200"
ADN,2025-09-29,3.31,-2.36,9.05M,-34.33,1.29,,,,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","Universe,MarketCap,StochRSI,MA50x200"
ADNT,2025-09-29,24.23,-1.66,2.00B,44.66,1.38,,,,MOTOR VEHICLE PARTS & ACCESSORIES,"MarketCap,StochRSI"
ADP,2025-09-29,291.83,0.1,118.10B,0.75,0.68,,,,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"Beta,StochRSI,MA50x200"
ADPT,2025-09-29,13.4,1.4,2.01B,116.56,2.21,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","MarketCap,YTD"
ADSE,2025-09-29,12.1,3.91,662.65M,-22.22,0.38,,,,"ADS-TEC Energy PLC produces, develops, and markets battery-buffered EV charging systems infrastructure, battery storage systems, and cloud-based services that enable the customer to control and manage the system. ADSE generates revenue mainly through the sale of its products, services, and Big-LinX. Geographically, it derives a majority of its revenue from Germany.","Volume,MarketCap,Beta,StochRSI,MA50x200"
ADSK,2025-09-29,322.86,-0.01,68.77B,10.07,1.32,,,,SERVICES-PREPACKAGED SOFTWARE,
ADT,2025-09-29,8.79,-0.28,7.22B,25.86,1.04,,,,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",StochRSI
ADTN,2025-09-29,9.27,-0.11,742.88M,6.55,1.58,,,,TELEPHONE & TELEGRAPH APPARATUS,MarketCap
ADTX,2025-09-29,0.85,0.62,4.20M,-98.26,0.77,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
ADUR,2025-09-29,13.69,9.35,389.01M,117.99,,,,,"Aduro Clean Technologies Inc is engaged in development and commercialization of its Hydrochemolytic technology (HCT) to create higher-value chemicals and fuels from lower-value feedstocks including waste plastics. It focuses on developing environmentally responsible technology for converting end-of-life plastics and tire rubber to specialty chemicals and fuels that replace petroleum, upgrading of heavy crude oils and the transformation of renewable oils into renewable fuels and specialty chemicals.","Volume,MarketCap,Beta,YTD"
ADUS,2025-09-29,117.74,0.34,2.16B,-5.25,0.7,,,,SERVICES-HOME HEALTH CARE SERVICES,"Volume,MarketCap,Beta,StochRSI"
ADV,2025-09-29,1.55,-0.32,508.48M,-44.66,1.53,,,,"SERVICES-BUSINESS SERVICES, NEC","Universe,Volume,MarketCap,MA50x200"
ADVB,2025-09-29,0.45,1.28,9.65M,-87.63,,,,,SERVICES-MEDICAL LABORATORIES,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
ADVM,2025-09-29,4.58,1.55,94.64M,-4.58,1.14,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,StochRSI,MA50x200"
AEBI,2025-09-29,12.66,-0.35,982.52M,13.28,,,,,CONSTRUCTION MACHINERY & EQUIP,"Volume,MarketCap,Beta"
AEE,2025-09-29,103.07,0.95,27.61B,15.82,0.38,,,,ELECTRIC & OTHER SERVICES COMBINED,"Beta,StochRSI"
AEG,2025-09-29,7.89,-0.69,12.51B,34.04,0.93,,,,"Aegon is a life insurance and long-term savings business listed in the Netherlands. It listed on the Amsterdam Stock Exchange in the 1980s and now has mature operations in the United States, the United Kingdom, and four growth markets of Brazil, China, Portugal, and Spain. Over recent years, Aegon has been moving through an extensive transformation program where management has sought to divest noncore operations and improve the risk profile of the business. Financial assets are the parts of the group that are now being run off. Aegon is looking to cycle out of capital-consumptive and volatile-earnings products and recycle funds into capital-light and more predictable strategic businesses.","Beta,StochRSI"
AEHL,2025-09-29,3.11,3.62,15.52M,-68.12,0.83,,,,"Antelope Enterprise Holdings Ltd operates in two reportable operating segments: 1) business management consulting, information system technology consulting services including the sales of software use rights for digital data deposit platforms and asset management systems, and online social media platform development and consulting, and 2) natural gas power generation, which was in the initial development stage. The business of the Company is engaged in the PRC and U.S.","Universe,MarketCap,Beta,YTD,MA50x200"
AEHR,2025-09-29,30.18,-0.02,904.76M,82.39,2.55,,,,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"MarketCap,YTD"
AEI,2025-09-29,2.54,11.4,89.43M,84.06,1.02,,,,REAL ESTATE,"Universe,Volume,MarketCap,YTD"
AEIS,2025-09-29,167.19,0.44,6.28B,44.95,1.75,,,,"ELECTRONIC COMPONENTS, NEC",Volume
AEM,2025-09-29,166.93,2.15,82.09B,103.6,0.52,,,,"Agnico Eagle is a gold miner with mines in Canada, Mexico, Finland, and Australia. Agnico operated just one mine, LaRonde, as recently as 2008 before bringing its other mines online in rapid succession in the following years. It merged with Kirkland Lake Gold in 2022, acquiring the Detour Lake and Macassa mines in Canada along with the high-grade, low-cost Fosterville mine in Australia. It sold around 3.4 million gold ounces in 2024 and had about 15 years of gold reserves at end 2024. Agnico Eagle is focused on increasing gold production in lower-risk jurisdictions and bought the remaining 50% of its Canadian Malartic mine along with the Wasamac project and other assets from Yamana Gold in 2023.","Beta,YTD,StochRSI"
AEMD,2025-09-29,0.76,1.46,5.00M,-88.07,1.13,,,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Universe,MarketCap,YTD,StochRSI,MA50x200"
AENT,2025-09-29,6.93,3.05,342.94M,-21.28,1.01,,,,"WHOLESALE-DURABLE GOODS, NEC","Volume,MarketCap"
AEO,2025-09-29,17.46,-2.7,3.04B,1.96,1.44,,,,RETAIL-FAMILY CLOTHING STORES,
AEON,2025-09-29,0.79,-5.82,9.80M,-98.0,1.04,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
AEP,2025-09-29,109.57,0.39,58.37B,19.18,0.32,,,,ELECTRIC SERVICES,"Beta,StochRSI"
AER,2025-09-29,121.77,-1.11,21.96B,26.35,0.92,,,,"AerCap Holdings NV is an aircraft leasing company. Its activities include leasing, financing, sales, and management of commercial aircraft and engines. It also provides aircraft asset management and corporate services to securitization vehicles, joint ventures, and other third parties.It has one business segment: leasing, financing, sales and management of commercial flight equipment (Commercial Flight Equipment Segment).Through its subsidiary, the group also provides engine leasing, certified aircraft engines, airframes, and engine parts. Its geographical segments include United Kingdom, United States, and Other countries.","Beta,StochRSI"
AERT,2025-09-29,0.66,-2.98,32.11M,-30.45,,,,,SERVICES-MANAGEMENT CONSULTING SERVICES,"Universe,MarketCap,Beta,StochRSI"
AES,2025-09-29,13.2,-0.3,9.43B,1.15,1.08,,,,COGENERATION SERVICES & SMALL POWER PRODUCERS,StochRSI
AESI,2025-09-29,11.76,-1.22,1.47B,-48.87,1.05,,,,CRUDE PETROLEUM & NATURAL GAS,"MarketCap,StochRSI,MA50x200"
AEVA,2025-09-29,14.79,-2.38,853.36M,195.21,2.67,,,,MOTOR VEHICLE PARTS & ACCESSORIES,"MarketCap,YTD"
AEYE,2025-09-29,14.46,1.72,176.31M,-6.8,2.04,,,,SERVICES-PREPACKAGED SOFTWARE,"Volume,MarketCap,StochRSI,MA50x200"
AFBI,2025-09-24,19.67,-1.01,123.77M,12.08,0.17,,,,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Volume,MarketCap,Beta"
AFCG,2025-09-29,4.17,0.38,93.77M,-50.99,0.97,,,,REAL ESTATE,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
AFG,2025-09-29,144.38,-0.59,12.11B,6.62,0.62,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,Beta,StochRSI"
AFJK,2025-09-17,11.32,-0.09,69.30M,5.5,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AFL,2025-09-29,111.38,0.02,59.56B,8.81,0.57,,,,ACCIDENT & HEALTH INSURANCE,"Beta,StochRSI"
AFRI,2025-09-29,9.0,1.12,239.42M,-11.33,0.47,,,,"Forafric Global PLC is engaged in production and sale of a variety of wheat flours, Semolina and Pasta and Couscous in Morocco and in more than 45 countries. The two main brands in Morocco are MAYMOUNA and TRIA. The company derives majority of its revenue from Soft wheat.","Volume,MarketCap,Beta,StochRSI,MA50x200"
AFRM,2025-09-29,76.84,1.07,24.76B,22.93,3.2,,,,PERSONAL CREDIT INSTITUTIONS,
AFYA,2025-09-29,15.58,0.52,1.41B,-0.32,0.81,,,,"Afya Ltd is a medical education group based in Brazil. Its education portfolio has several courses in addition to Medicine, such as Management, Dentistry, Law, Engineering, Nursing, Psychology, and Accounting Sciences, among others. It has three segments; Undergrad provides educational services through undergraduate courses related to medical school, undergraduate health science and other ex-health undergraduate programs, Continuing Education provides medical education, specialization and graduate courses in medicine, delivered through digital and in-person content; and Medical practice solution provides clinical decision, clinical management and doctor-patient relationships for physicians and provide access, demand and efficiency for the healthcare players.","Volume,MarketCap,Beta,MA50x200"
AG,2025-09-29,12.51,3.01,5.93B,110.17,1.07,,,,"First Majestic Silver Corp is engaged in the production, development, exploration, and acquisition of mineral properties with a focus on silver and gold production in North America. It owns three producing mines in Mexico consisting of the San Dimas Silver/Gold Mine, the Santa Elena Silver/Gold Mine, and the La Encantada Silver Mine.","YTD,StochRSI"
AGAE,2025-09-29,0.95,0.03,36.13M,17.5,0.95,,,,SERVICES-AMUSEMENT & RECREATION SERVICES,"Universe,MarketCap,Beta,StochRSI,MA50x200"
AGCO,2025-09-29,107.31,-2.25,8.19B,17.52,0.96,,,,FARM MACHINERY & EQUIPMENT,"Beta,StochRSI"
AGEN,2025-09-29,3.97,0.51,125.86M,28.48,2.06,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap"
AGFY,2025-08-29,47.12,2.7,,46.11,1.03,,,,,"Volume,MarketCap,StochRSI"
AGH,2025-09-29,3.19,10.98,41.93M,-17.91,,,,,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,"Universe,MarketCap,Beta,StochRSI"
AGI,2025-09-29,34.67,1.43,14.37B,80.01,0.53,,,,"Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico. The company has four operating segments being Young-Davidson, Island Gold and Magino mines operate in Canada, and the Mulatos mine operates in Sonora, Mexico. The company generates maximum revenue from the Mulatos mines.","Beta,YTD,StochRSI"
AGIO,2025-09-29,39.48,1.4,2.26B,23.98,1.3,,,,PHARMACEUTICAL PREPARATIONS,"MarketCap,StochRSI"
AGL,2025-09-29,1.09,0.46,451.72M,-42.97,0.66,,,,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","Universe,MarketCap,Beta,StochRSI,MA50x200"
AGM,2025-09-29,171.77,-0.67,1.89B,-10.61,1.04,,,,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,"Volume,MarketCap,MA50x200"
AGMH,2025-09-29,8.19,-5.42,17.10M,-89.05,0.7,,,,"AGM Group Holdings Inc is an integrated technology company. The company focuses on blockchain-oriented ASIC chip design, high-end crypto miner production, and fintech technology software services. The company generates maximum revenue from the sale of cryptocurrency mining machines and standardized computing equipment.","MarketCap,Beta,YTD,StochRSI,MA50x200"
AGNC,2025-09-29,9.86,0.15,10.36B,6.2,0.91,,,,REAL ESTATE INVESTMENT TRUSTS,Beta
AGNCL,2025-09-29,25.27,0.36,151.62M,0.2,0.3,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,StochRSI"
AGNCO,2025-09-29,25.63,-0.12,412.64M,1.18,0.22,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,StochRSI"
AGO,2025-09-29,83.98,-0.79,4.03B,-6.18,0.7,,,,SURETY INSURANCE,"Volume,Beta,StochRSI,MA50x200"
AGRI,2025-09-29,3.29,-6.39,8.88M,-85.12,0.89,,,,FINANCE SERVICES,"Universe,MarketCap,Beta,YTD,StochRSI,MA50x200"
AGRO,2025-09-29,7.97,-0.93,805.56M,-16.67,0.54,,,,"Adecoagro SA is a Luxembourg-based agricultural company. It is involved in a wide range of businesses, including farming crops and other agricultural products, dairy operations sugar, ethanol, energy production, and land transformation. The group operates in two lines of business, namely, Farming and Sugar, Ethanol and Energy. The Farming is further comprised of three reportable segments: Crops, Rice and Dairy. Sugar, Ethanol and Energy Segment, consists of cultivating sugarcane, which is processed in owned sugar mills, transformed into ethanol, sugar and electricity, in addition to biomethane and then marketed.","Volume,MarketCap,Beta,StochRSI,MA50x200"
AGX,2025-09-29,270.0,1.23,3.68B,88.39,1.12,,,,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,"Volume,YTD,StochRSI"
AGYS,2025-09-29,104.86,0.19,2.93B,-19.1,1.01,,,,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"Volume,MarketCap"
AHCO,2025-09-29,8.76,-1.46,1.20B,-9.69,1.19,,,,SERVICES-HOME HEALTH CARE SERVICES,"MarketCap,MA50x200"
AHH,2025-09-29,6.87,0.95,545.88M,-31.8,0.9,,,,REAL ESTATE,"MarketCap,Beta,MA50x200"
AHL,2025-09-29,36.56,-0.23,3.37B,12.51,,,,,"FIRE, MARINE & CASUALTY INSURANCE",Beta
