Ticker,Date,Close,ChangePct,Market Cap,YTDpct,Beta,AnalystRating,RecentEarnings,UpcomingEarnings,Sector,FailReason
ABL,2025-09-26,5.87,0.86,563.06M,-24.16,0.59,,,,INVESTMENT ADVICE,"Volume,MarketCap,Beta,MA50x200"
ABLLL,2025-09-26,25.05,0.0,,-17.6,,,,,INVESTMENT ADVICE,"Volume,MarketCap,Beta,StochRSI,MA50x200"
ABLV,2025-09-26,0.88,-3.49,43.46M,14.91,1.0,,,,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.","Universe,Volume,MarketCap,Beta,MA50x200"
ABM,2025-09-26,45.78,1.6,2.80B,-10.45,0.85,,,,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"Volume,MarketCap,Beta,StochRSI,MA50x200"
ABNB,2025-09-26,123.7,1.6,75.73B,-5.92,1.51,,,,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"StochRSI,MA50x200"
ABOS,2025-09-26,1.42,-4.05,86.01M,-23.24,1.31,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,StochRSI"
ABP,2025-09-26,0.22,2.16,17.47M,-86.12,,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
ABR,2025-09-26,12.05,0.84,2.32B,-12.55,1.12,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,StochRSI"
ABSI,2025-09-26,2.73,3.02,408.20M,0.74,2.52,,,,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"Universe,Volume,MarketCap,StochRSI,MA50x200"
ABT,2025-09-26,133.55,0.18,232.44B,17.73,0.45,,,,PHARMACEUTICAL PREPARATIONS,"Beta,StochRSI"
ABTS,2025-09-26,8.39,-0.71,19.88M,-13.42,,,,,"Abits Group Inc is a digital data center operator with bitcoin self-mining operations. The group has its subsidiaries in USA, China, Canada and Hong Kong.","Volume,MarketCap,Beta,StochRSI"
ABUS,2025-09-26,4.41,2.08,845.39M,34.04,0.85,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta"
ABVC,2025-09-26,3.16,1.28,74.39M,392.75,0.51,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI"
ABVE,2025-09-26,1.63,-7.39,83.44M,178.61,,,,,"Above Food Ingredients Inc is a differentiated, regenerative ingredient company. Its products are made with real nutritious, flavorful ingredients and delivered with transparency. Its vision is to create a healthier world one seed, one field, and one bite at a time. With a robust chain of custody of plant proteins, enabled by scaled operations and infrastructure in primary agriculture and processing, and proprietary seed development capabilities that leverage the power of artificial intelligence driven genomics. The company delivers nutritious foods to businesses and consumers with traceability and sustainability. Above Food's consumer products and brands are available in grocers across Canada and the United States.","Universe,Volume,MarketCap,Beta,YTD,StochRSI"
AC,2025-09-04,30.92,-7.31,,-11.61,0.5,,,,,"Volume,MarketCap,Beta,MA50x200"
ACA,2025-09-26,92.62,1.1,4.54B,-4.18,1.2,,,,FABRICATED STRUCTURAL METAL PRODUCTS,Volume
ACAD,2025-09-26,21.05,-0.75,3.55B,12.81,1.07,,,,PHARMACEUTICAL PREPARATIONS,
ACB,2025-09-26,4.86,-1.82,273.39M,8.0,1.8,,,,"Aurora Cannabis Inc headquartered in Edmonton, Canada, cultivates and sells medicinal and recreational cannabis through a portfolio of brands that includes Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard. Although the company operates in Canada, it has expanded internationally through medical cannabis exporting agreements. The company opertes in Canada, Europe, Australia, and Others, with majority revenue from Canada.","Universe,Volume,MarketCap,StochRSI"
ACCO,2025-09-26,4.06,1.25,365.94M,-21.77,1.08,,,,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK","Universe,Volume,MarketCap,MA50x200"
ACCS,2025-09-26,10.75,0.09,41.59M,10.26,,,,,SERVICES-MANAGEMENT CONSULTING SERVICES,"Volume,MarketCap,Beta,StochRSI"
ACDC,2025-09-26,3.77,1.62,681.88M,-54.41,1.55,,,,"OIL & GAS FIELD SERVICES, NEC","Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
ACEL,2025-09-26,11.37,1.52,958.42M,7.57,0.97,,,,SERVICES-AMUSEMENT & RECREATION SERVICES,"Volume,MarketCap,Beta,StochRSI"
ACET,2025-09-26,0.84,0.14,69.93M,-13.74,1.46,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,StochRSI,MA50x200"
ACFN,2025-09-26,28.55,-0.04,71.42M,53.91,0.25,,,,SERVICES-ENGINEERING SERVICES,"Volume,MarketCap,Beta,YTD"
ACGL,2025-09-26,90.88,1.46,33.92B,-0.55,0.47,,,,"FIRE, MARINE & CASUALTY INSURANCE","Beta,StochRSI,MA50x200"
ACGLN,2025-09-26,18.0,0.0,360.00M,-2.76,0.34,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,MarketCap,Beta"
ACHC,2025-09-26,24.53,3.2,2.27B,-39.83,0.8,,,,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC","MarketCap,Beta,StochRSI,MA50x200"
ACHR,2025-09-26,9.28,-0.54,5.99B,-3.03,2.41,,,,AIRCRAFT,StochRSI
ACHV,2025-09-26,3.01,1.35,153.83M,-18.43,1.08,,,,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"Universe,Volume,MarketCap,StochRSI"
ACI,2025-09-26,17.56,0.63,9.83B,-10.68,0.15,,,,RETAIL-GROCERY STORES,"Beta,MA50x200"
ACIC,2025-09-26,11.58,2.3,564.70M,-9.03,0.78,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,MarketCap,Beta,StochRSI,MA50x200"
ACIU,2025-09-26,2.84,-2.41,285.70M,-0.35,0.91,,,,"AC Immune SA is a clinical-stage biopharmaceutical company that focuses on neurodegenerative diseases. The company uses its proprietary technology platforms to discover, design, and develop novel proprietary small molecules, antibodies, and vaccines for the prevention, diagnosis, and treatment of neurodegenerative diseases associated with protein misfolding. The Company has one segment. The Company currently focuses mostly of its resources on discovering and developing therapeutic and diagnostic products targeting misfolded proteins. The company's pipeline consists of ACI-24.060, Crenezumab, ACI-35.030, Semorinemab, ACI-7104.056, and others.","Universe,Volume,MarketCap,Beta,StochRSI"
ACIW,2025-09-26,52.26,1.06,5.39B,-0.63,1.15,,,,SERVICES-PREPACKAGED SOFTWARE,"Volume,StochRSI,MA50x200"
ACLS,2025-09-26,97.48,0.37,3.06B,38.86,1.96,,,,"SPECIAL INDUSTRY MACHINERY, NEC","Volume,StochRSI"
ACLX,2025-09-26,79.75,1.72,4.42B,1.27,1.24,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Volume,StochRSI"
ACM,2025-09-26,129.25,0.69,17.12B,21.59,0.88,,,,SERVICES-ENGINEERING SERVICES,"Volume,Beta"
ACMR,2025-09-26,37.77,-0.5,2.42B,142.58,2.42,,,,"SPECIAL INDUSTRY MACHINERY, NEC","MarketCap,YTD,StochRSI"
ACN,2025-09-26,238.97,2.76,148.64B,-31.49,1.01,,,,"SERVICES-BUSINESS SERVICES, NEC","StochRSI,MA50x200"
ACNB,2025-09-26,44.67,0.31,467.59M,15.94,0.91,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,Beta"
ACNT,2025-09-26,12.73,0.39,119.25M,11.67,0.22,,,,CHEMICALS & ALLIED PRODUCTS,"Volume,MarketCap,Beta,StochRSI"
ACOG,2025-09-26,7.08,-8.29,114.42M,24.87,,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Volume,MarketCap,Beta"
ACON,2025-09-26,7.62,-5.11,4.44M,-99.41,1.13,,,,SERVICES-MEDICAL LABORATORIES,"Volume,MarketCap,YTD,MA50x200"
ACR,2025-09-26,21.17,0.43,157.22M,28.46,0.5,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,StochRSI"
ACRE,2025-09-26,4.77,0.42,262.38M,-19.83,1.26,,,,REAL ESTATE INVESTMENT TRUSTS,"Universe,Volume,MarketCap,MA50x200"
ACRS,2025-09-26,1.99,6.42,215.58M,-19.76,1.15,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap"
ACRV,2025-09-26,1.66,7.79,52.22M,-70.83,1.51,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,MA50x200"
ACT,2025-09-26,39.1,1.06,5.77B,20.98,0.63,,,,"INSURANCE AGENTS, BROKERS & SERVICE","Volume,Beta,StochRSI"
ACTG,2025-09-26,3.29,1.23,317.30M,-24.37,0.89,,,,PATENT OWNERS & LESSORS,"Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
ACTU,2025-09-26,6.89,3.61,160.15M,-13.44,,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,MA50x200"
ACU,2025-09-26,41.45,0.05,157.48M,13.07,0.58,,,,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","Volume,MarketCap,Beta"
ACVA,2025-09-26,9.76,-2.11,1.68B,-53.39,1.73,,,,"SERVICES-BUSINESS SERVICES, NEC","MarketCap,YTD,StochRSI,MA50x200"
ACXP,2025-09-26,4.05,0.75,6.42M,-75.89,0.77,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
AD,2025-09-26,47.97,1.59,4.14B,-36.86,,,,,RADIOTELEPHONE COMMUNICATIONS,"Volume,Beta,StochRSI"
ADBE,2025-09-26,360.37,1.75,150.85B,-18.28,1.27,,,,SERVICES-PREPACKAGED SOFTWARE,"StochRSI,MA50x200"
ADC,2025-09-26,71.26,0.96,7.89B,2.18,0.28,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,Beta,MA50x200"
ADCT,2025-09-26,3.65,5.8,410.62M,82.5,1.59,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI"
ADEA,2025-09-26,16.83,1.02,1.84B,22.58,1.17,,,,CABLE & OTHER PAY TELEVISION SERVICES,"Volume,MarketCap,StochRSI"
ADGM,2025-09-26,1.91,-5.91,29.38M,63.25,,,,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI"
ADI,2025-09-26,247.56,0.01,121.79B,17.13,1.4,,,,SEMICONDUCTORS & RELATED DEVICES,StochRSI
ADIL,2025-09-26,0.34,2.81,7.51M,-67.55,0.91,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
ADM,2025-09-26,60.6,-0.77,29.12B,20.67,0.47,,,,FATS & OILS,"Beta,StochRSI"
ADMA,2025-09-26,15.61,1.89,3.73B,-13.13,1.36,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","StochRSI,MA50x200"
ADN,2025-09-26,3.39,0.3,9.05M,-32.74,1.31,,,,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","Universe,Volume,MarketCap,StochRSI,MA50x200"
ADNT,2025-09-26,24.64,-0.28,2.00B,47.1,1.4,,,,MOTOR VEHICLE PARTS & ACCESSORIES,"Volume,MarketCap,StochRSI"
ADP,2025-09-26,291.54,0.92,118.10B,0.65,0.69,,,,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"Beta,StochRSI,MA50x200"
ADPT,2025-09-26,13.22,0.69,2.01B,113.57,2.21,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Volume,MarketCap,YTD"
ADSE,2025-09-26,11.64,13.34,662.65M,-25.14,0.39,,,,"ADS-TEC Energy PLC produces, develops, and markets battery-buffered EV charging systems infrastructure, battery storage systems, and cloud-based services that enable the customer to control and manage the system. ADSE generates revenue mainly through the sale of its products, services, and Big-LinX. Geographically, it derives a majority of its revenue from Germany.","Volume,MarketCap,Beta,StochRSI,MA50x200"
ADSK,2025-09-26,322.88,0.85,68.77B,10.08,1.31,,,,SERVICES-PREPACKAGED SOFTWARE,
ADT,2025-09-26,8.81,2.44,7.22B,26.22,1.04,,,,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",StochRSI
ADTN,2025-09-26,9.28,-0.96,742.88M,6.67,1.57,,,,TELEPHONE & TELEGRAPH APPARATUS,"Volume,MarketCap"
ADTX,2025-09-26,0.84,-1.08,4.20M,-98.27,0.72,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
ADUR,2025-09-26,12.52,0.48,389.01M,99.36,,,,,"Aduro Clean Technologies Inc is engaged in development and commercialization of its Hydrochemolytic technology (HCT) to create higher-value chemicals and fuels from lower-value feedstocks including waste plastics. It focuses on developing environmentally responsible technology for converting end-of-life plastics and tire rubber to specialty chemicals and fuels that replace petroleum, upgrading of heavy crude oils and the transformation of renewable oils into renewable fuels and specialty chemicals.","Volume,MarketCap,Beta,YTD"
ADUS,2025-09-26,117.34,1.51,2.16B,-5.57,0.7,,,,SERVICES-HOME HEALTH CARE SERVICES,"Volume,MarketCap,Beta,StochRSI"
ADV,2025-09-26,1.56,-3.11,508.48M,-44.48,1.54,,,,"SERVICES-BUSINESS SERVICES, NEC","Universe,Volume,MarketCap,MA50x200"
ADVB,2025-09-26,0.45,-5.15,9.65M,-87.79,,,,,SERVICES-MEDICAL LABORATORIES,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
ADVM,2025-09-26,4.51,4.64,94.64M,-6.04,1.14,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap,StochRSI,MA50x200"
AEBI,2025-09-26,12.71,3.76,982.52M,13.69,,,,,CONSTRUCTION MACHINERY & EQUIP,"Volume,MarketCap,Beta"
AEE,2025-09-26,102.1,1.31,27.61B,14.73,0.39,,,,ELECTRIC & OTHER SERVICES COMBINED,"Volume,Beta,StochRSI"
AEG,2025-09-26,7.95,0.63,12.51B,34.97,0.94,,,,"Aegon is a life insurance and long-term savings business listed in the Netherlands. It listed on the Amsterdam Stock Exchange in the 1980s and now has mature operations in the United States, the United Kingdom, and four growth markets of Brazil, China, Portugal, and Spain. Over recent years, Aegon has been moving through an extensive transformation program where management has sought to divest noncore operations and improve the risk profile of the business. Financial assets are the parts of the group that are now being run off. Aegon is looking to cycle out of capital-consumptive and volatile-earnings products and recycle funds into capital-light and more predictable strategic businesses.","Beta,StochRSI"
AEHL,2025-09-26,3.0,-1.64,15.52M,-69.24,0.83,,,,"Antelope Enterprise Holdings Ltd operates in two reportable operating segments: 1) business management consulting, information system technology consulting services including the sales of software use rights for digital data deposit platforms and asset management systems, and online social media platform development and consulting, and 2) natural gas power generation, which was in the initial development stage. The business of the Company is engaged in the PRC and U.S.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
AEHR,2025-09-26,30.19,-2.23,904.76M,82.42,2.53,,,,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"MarketCap,YTD"
AEI,2025-09-26,2.28,-9.88,89.43M,65.22,1.02,,,,REAL ESTATE,"Universe,Volume,MarketCap,YTD"
AEIS,2025-09-26,166.46,-0.53,6.28B,44.32,1.74,,,,"ELECTRONIC COMPONENTS, NEC",Volume
AEM,2025-09-26,163.42,2.2,82.09B,99.32,0.51,,,,"Agnico Eagle is a gold miner with mines in Canada, Mexico, Finland, and Australia. Agnico operated just one mine, LaRonde, as recently as 2008 before bringing its other mines online in rapid succession in the following years. It merged with Kirkland Lake Gold in 2022, acquiring the Detour Lake and Macassa mines in Canada along with the high-grade, low-cost Fosterville mine in Australia. It sold around 3.4 million gold ounces in 2024 and had about 15 years of gold reserves at end 2024. Agnico Eagle is focused on increasing gold production in lower-risk jurisdictions and bought the remaining 50% of its Canadian Malartic mine along with the Wasamac project and other assets from Yamana Gold in 2023.","Beta,YTD"
AEMD,2025-09-26,0.75,-2.24,5.00M,-88.25,1.14,,,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
AENT,2025-09-26,6.73,3.54,342.94M,-23.61,1.01,,,,"WHOLESALE-DURABLE GOODS, NEC","Volume,MarketCap"
AEO,2025-09-26,17.95,0.84,3.04B,4.79,1.44,,,,RETAIL-FAMILY CLOTHING STORES,
AEON,2025-09-26,0.84,8.13,9.80M,-97.87,1.04,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
AEP,2025-09-26,109.14,1.19,58.37B,18.71,0.33,,,,ELECTRIC SERVICES,"Beta,StochRSI"
AER,2025-09-26,123.13,0.68,21.96B,27.77,0.92,,,,"AerCap Holdings NV is an aircraft leasing company. Its activities include leasing, financing, sales, and management of commercial aircraft and engines. It also provides aircraft asset management and corporate services to securitization vehicles, joint ventures, and other third parties.It has one business segment: leasing, financing, sales and management of commercial flight equipment (Commercial Flight Equipment Segment).Through its subsidiary, the group also provides engine leasing, certified aircraft engines, airframes, and engine parts. Its geographical segments include United Kingdom, United States, and Other countries.",Beta
AERT,2025-09-26,0.68,-15.69,32.11M,-28.32,,,,,SERVICES-MANAGEMENT CONSULTING SERVICES,"Universe,Volume,MarketCap,Beta,StochRSI"
AES,2025-09-26,13.24,1.61,9.43B,1.46,1.08,,,,COGENERATION SERVICES & SMALL POWER PRODUCERS,StochRSI
AESI,2025-09-26,11.9,2.59,1.47B,-48.24,1.05,,,,CRUDE PETROLEUM & NATURAL GAS,"Volume,MarketCap,StochRSI,MA50x200"
AEVA,2025-09-26,15.15,-6.37,853.36M,202.4,2.68,,,,MOTOR VEHICLE PARTS & ACCESSORIES,"MarketCap,YTD"
AEYE,2025-09-26,14.21,3.95,176.31M,-8.38,2.02,,,,SERVICES-PREPACKAGED SOFTWARE,"Volume,MarketCap,StochRSI,MA50x200"
AFBI,2025-09-24,19.67,-1.01,123.77M,12.08,0.16,,,,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Volume,MarketCap,Beta"
AFCG,2025-09-26,4.15,0.97,93.77M,-51.18,0.99,,,,REAL ESTATE,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
AFG,2025-09-26,145.24,1.47,12.11B,7.25,0.61,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,Beta,StochRSI"
AFJK,2025-09-17,11.32,-0.09,69.30M,5.5,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AFL,2025-09-26,111.36,1.72,59.56B,8.79,0.57,,,,ACCIDENT & HEALTH INSURANCE,"Beta,StochRSI"
AFRI,2025-09-26,8.9,2.77,239.42M,-12.32,0.47,,,,"Forafric Global PLC is engaged in production and sale of a variety of wheat flours, Semolina and Pasta and Couscous in Morocco and in more than 45 countries. The two main brands in Morocco are MAYMOUNA and TRIA. The company derives majority of its revenue from Soft wheat.","Volume,MarketCap,Beta,MA50x200"
AFRM,2025-09-26,76.03,-2.45,24.76B,21.63,3.2,,,,PERSONAL CREDIT INSTITUTIONS,
AFYA,2025-09-26,15.5,-1.21,1.41B,-0.83,0.81,,,,"Afya Ltd is a medical education group based in Brazil. Its education portfolio has several courses in addition to Medicine, such as Management, Dentistry, Law, Engineering, Nursing, Psychology, and Accounting Sciences, among others. It has three segments; Undergrad provides educational services through undergraduate courses related to medical school, undergraduate health science and other ex-health undergraduate programs, Continuing Education provides medical education, specialization and graduate courses in medicine, delivered through digital and in-person content; and Medical practice solution provides clinical decision, clinical management and doctor-patient relationships for physicians and provide access, demand and efficiency for the healthcare players.","Volume,MarketCap,Beta,StochRSI,MA50x200"
AG,2025-09-26,12.14,4.03,5.93B,104.03,1.06,,,,"First Majestic Silver Corp is engaged in the production, development, exploration, and acquisition of mineral properties with a focus on silver and gold production in North America. It owns three producing mines in Mexico consisting of the San Dimas Silver/Gold Mine, the Santa Elena Silver/Gold Mine, and the La Encantada Silver Mine.","YTD,StochRSI"
AGAE,2025-09-26,0.95,2.84,36.13M,17.47,0.95,,,,SERVICES-AMUSEMENT & RECREATION SERVICES,"Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
AGCO,2025-09-26,109.78,1.66,8.19B,20.23,0.96,,,,FARM MACHINERY & EQUIPMENT,"Volume,Beta,StochRSI"
AGEN,2025-09-26,3.95,1.28,125.86M,27.83,2.06,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Universe,Volume,MarketCap"
AGFY,2025-08-29,47.12,2.7,,46.11,1.06,,,,,"Volume,MarketCap,StochRSI"
AGH,2025-09-26,2.87,31.65,41.93M,-26.03,,,,,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,"Universe,Volume,MarketCap,Beta"
AGI,2025-09-26,34.18,2.61,14.37B,77.47,0.52,,,,"Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico. The company has four operating segments being Young-Davidson, Island Gold and Magino mines operate in Canada, and the Mulatos mine operates in Sonora, Mexico. The company generates maximum revenue from the Mulatos mines.","Beta,YTD,StochRSI"
AGIO,2025-09-26,38.93,6.34,2.26B,22.27,1.3,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,StochRSI"
AGL,2025-09-26,1.09,0.0,451.72M,-43.23,0.66,,,,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
AGM,2025-09-26,172.93,-2.46,1.89B,-10.01,1.05,,,,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,"Volume,MarketCap,MA50x200"
AGMH,2025-09-26,8.66,14.55,17.10M,-88.43,0.69,,,,"AGM Group Holdings Inc is an integrated technology company. The company focuses on blockchain-oriented ASIC chip design, high-end crypto miner production, and fintech technology software services. The company generates maximum revenue from the sale of cryptocurrency mining machines and standardized computing equipment.","MarketCap,Beta,YTD,StochRSI,MA50x200"
AGNC,2025-09-26,9.84,0.82,10.36B,6.03,0.92,,,,REAL ESTATE INVESTMENT TRUSTS,Beta
AGNCL,2025-09-26,25.18,0.56,151.08M,-0.16,0.31,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta"
AGNCO,2025-09-26,25.66,0.16,413.13M,1.3,0.23,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,StochRSI"
AGO,2025-09-26,84.65,0.97,4.03B,-5.43,0.7,,,,SURETY INSURANCE,"Volume,Beta,StochRSI,MA50x200"
AGRI,2025-09-26,3.52,-4.86,8.88M,-84.1,0.88,,,,FINANCE SERVICES,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
AGRO,2025-09-26,8.05,-0.25,805.56M,-15.88,0.54,,,,"Adecoagro SA is a Luxembourg-based agricultural company. It is involved in a wide range of businesses, including farming crops and other agricultural products, dairy operations sugar, ethanol, energy production, and land transformation. The group operates in two lines of business, namely, Farming and Sugar, Ethanol and Energy. The Farming is further comprised of three reportable segments: Crops, Rice and Dairy. Sugar, Ethanol and Energy Segment, consists of cultivating sugarcane, which is processed in owned sugar mills, transformed into ethanol, sugar and electricity, in addition to biomethane and then marketed.","Volume,MarketCap,Beta,StochRSI,MA50x200"
AGX,2025-09-26,266.73,3.32,3.68B,86.11,1.12,,,,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,"Volume,YTD,StochRSI"
AGYS,2025-09-26,104.66,1.34,2.93B,-19.25,1.0,,,,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"Volume,MarketCap"
AHCO,2025-09-26,8.89,1.83,1.20B,-8.35,1.19,,,,SERVICES-HOME HEALTH CARE SERVICES,"Volume,MarketCap,MA50x200"
